name,paper_title,publication_year,source
Bekzod Madaminov,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
Sanjarbek Madaminov,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
Bharosh Kumar Yadav,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
Nidhal Ben Khedher,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
Yuquan Chu,STICformer: spatio-temporal intrinsic connections transformer for traffic flow prediction.,2025.0,PubMed
Tingting Fu,STICformer: spatio-temporal intrinsic connections transformer for traffic flow prediction.,2025.0,PubMed
Peng Liu,STICformer: spatio-temporal intrinsic connections transformer for traffic flow prediction.,2025.0,PubMed
Haksrun Lao,STICformer: spatio-temporal intrinsic connections transformer for traffic flow prediction.,2025.0,PubMed
Xiuchun Li,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Rebecca Hernandez,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Xudong Zhang,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Sijie Tang,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Xiaohong Yuan,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Jing Wu,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Kathy Pham,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Hukam C Rawal,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Erica C Heinrich,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Shenglong Zhang,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Qi Chen,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Tong Zhou,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Changcheng Zhou,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
Zong-Xu Gao,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Chenyingchun Su,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Hai-Xia Zhang,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Yue-Qing Zhang,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Xiao-Xue Chen,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Xu-Yuan Liu,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Ai-Xia Cheng,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Ze-Jun Xu,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Hong-Xiang Lou,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
Zhi-Xin Huang,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
Yi-Ling Li,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
Jian-Chao Peng,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
Thanh-Tung Ho,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
Hai Huang,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
Michael Aschner,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
Yue-Ming Jiang,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
Yaqun Liu,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Lianghui Chen,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Xuanyi Zheng,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Peikui Yang,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Jinkun Han,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Jiayi Huang,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Yanling Shen,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Xiaotong Cai,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Miaofen Fang,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Yicun Chen,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Chengsong Xie,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Min Lin,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Yuzhong Zheng,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
Christopher Reilly-Stitt,Laboratory Testing of Direct Oral Anticoagulants.,2025.0,PubMed
Xiaopeng Li,Circadian disruption aggravates non-alcoholic fatty liver disease by activating RIPK1-RIPK3-MLKL axis in mice.,2025.0,PubMed
Liang Wang,Circadian disruption aggravates non-alcoholic fatty liver disease by activating RIPK1-RIPK3-MLKL axis in mice.,2025.0,PubMed
Xiaoyu Cheng,Circadian disruption aggravates non-alcoholic fatty liver disease by activating RIPK1-RIPK3-MLKL axis in mice.,2025.0,PubMed
Ming Li,Circadian disruption aggravates non-alcoholic fatty liver disease by activating RIPK1-RIPK3-MLKL axis in mice.,2025.0,PubMed
Jiali Chen,Circadian disruption aggravates non-alcoholic fatty liver disease by activating RIPK1-RIPK3-MLKL axis in mice.,2025.0,PubMed
Athos Silva de Oliveira,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Sevan Alwan,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Philip T LoVerde,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Ramiz Shaheed,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Pranav Mandyam,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Rakesh Adhikari,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Peter Hotez,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Maria Elena Bottazzi,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Jeroen Pollet,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
Yan Huang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Shaoli Liu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Xiaoju Zhang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Bingxu Zhang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Feng Shi,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Jia Zhang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Shuaibo Shao,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Hongya Han,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Xiaoyun Ma,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Jing Xie,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Jianqi Zhang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Hongxiaoying Yu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Yongchao Zhao,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Jiazheng Jin,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Dong Xu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Liang Liu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Jianing Wang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Yu Tan,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Kelu Xu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Lushuai Jin,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Quanjun Du,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Yifeng Geng,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Andong Liu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Wei Xu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
Zhaozheng Hou,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Ping Feng,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Chi-Leung Chiang,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Kazi Anisha Islam,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Songran Liu,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Ying Wang,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Yingpei Zhang,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Michael King-Yung Chung,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Ngar-Woon Kam,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Zilu Huang,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Victor Ho-Fun Lee,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Anne Wing-Mui Lee,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Dora Lai-Wan Kwong,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Wai Tong Ng,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Jason Wing Hon Wong,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Yunfei Xia,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Wei Dai,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
Mousa Khalafi,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
Saeid Fatolahi,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
Michael E Symonds,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
Sara K Rosenkranz,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
Farnaz Dinizadeh,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
Alexios Batrakoulis,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
Qiang Ma,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
Ryan F LeBouf,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
Chengetayi Cornelius Rimayi,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
Chol Seung Lim,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
Desta Fekedulegn,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
Ju-Hyeong Park,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
Dale W Porter,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
Esraa Eloseily,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Ivanna Romankevych,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Taskin Sabit,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Lara Berklite,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Sarangarajan Ranganathan,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Paul Rosen,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Michael Henrickson,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Jennifer Huggins,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Grant Schulert,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Alexei Grom,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
Taylor Purzycki,Extracorporeal management of severe methotrexate toxicity and acute kidney injury in the absence of glucarpidase.,2025.0,PubMed
Matthew Knapp,Extracorporeal management of severe methotrexate toxicity and acute kidney injury in the absence of glucarpidase.,2025.0,PubMed
Shivangi Patel,Extracorporeal management of severe methotrexate toxicity and acute kidney injury in the absence of glucarpidase.,2025.0,PubMed
V Menoury,Replacing hexane with 2-methyloxolane for defatting soybean meal fed to dairy cows: Effects on ruminal and milk fatty acid profiles and health indicators.,2025.0,PubMed
P Nozière,Replacing hexane with 2-methyloxolane for defatting soybean meal fed to dairy cows: Effects on ruminal and milk fatty acid profiles and health indicators.,2025.0,PubMed
C Delavaud,Replacing hexane with 2-methyloxolane for defatting soybean meal fed to dairy cows: Effects on ruminal and milk fatty acid profiles and health indicators.,2025.0,PubMed
Y Farizon,Replacing hexane with 2-methyloxolane for defatting soybean meal fed to dairy cows: Effects on ruminal and milk fatty acid profiles and health indicators.,2025.0,PubMed
A Ferlay,Replacing hexane with 2-methyloxolane for defatting soybean meal fed to dairy cows: Effects on ruminal and milk fatty acid profiles and health indicators.,2025.0,PubMed
Ying Liu,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Dandan Pan,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Pinyan Zhang,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Yuting Shao,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Yinhua Kong,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Zhenzhou Jiang,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Wenjing Zhu,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Houwen Wang,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Xinghan Liu,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Sitong Qian,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Tao Wang,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Xia Zhu,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Tingting Yang,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Qian Lu,Jujuboside A ameliorates glomerular podocytes lipotoxicity in diabetic mice by YY1-mediated promotion of intracellular cholesterol transport and efflux.,2025.0,PubMed
Nada F Abo El-Magd,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
Nehal M Ramadan,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
Yomna F Hassan,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
Amr M Mahmoud,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
Maha M Azzam,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
Salma M Eraky,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
Miguel Ganuza,HSC-independent and -dependent hematopoiesis: new insights and lineage tracing methods.,2025.0,PubMed
Momoko Yoshimoto,HSC-independent and -dependent hematopoiesis: new insights and lineage tracing methods.,2025.0,PubMed
Nidal A Qinna,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Bayan Y Ghanim,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Duaa Abu Arqoub,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Qasem Abdallah,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Malak Jaber,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Mohammad AlNatoor,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Duaa Sabbah,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Bayan Alkhawaja,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Dong-Hyun Kim,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
Ian Strohbehn,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
Anant D Bhave,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
Joshua Kallen,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
Geoffrey M Scriver,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
Christopher S Morris,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
Bill S Majdalany,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
Jun Zhang,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Jintao Xuan,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Zheyun He,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Sijia Zhang,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Jing Zhou,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Hongliang Liu,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Zhanyang Xia,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Yuan Wu,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Si Chen,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Boming Wu,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Hongshan Li,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
Yudai Ohta,Iron and bile acids synergize to exacerbate congenital cholestatic liver injury via ferroptosis.,2025.0,PubMed
Yohei Kanamori,Iron and bile acids synergize to exacerbate congenital cholestatic liver injury via ferroptosis.,2025.0,PubMed
