name_linkedin,title,company,person_location,linkedin_url,source_linkedin,full_name_normalized,name_pubmed,paper_title,publication_year,source_pubmed,company_industry,company_size,company_hq_location,company_website,company_enriched,funding_stage,last_funding_year,is_funded,person_country,company_hq_country,location_type,location_enriched,business_email,phone_number,email_domain,contact_enriched
,,,,,,afreenish amir,Afreenish Amir,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ahmed osman ibrahim,Ahmed Osman Ibrahim,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ai-xia cheng,Ai-Xia Cheng,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,aisling jennings,Aisling Jennings,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,aisling naylor,Aisling Naylor,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ajay duseja,Ajay Duseja,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,akihiro nita,Akihiro Nita,Iron and bile acids synergize to exacerbate congenital cholestatic liver injury via ferroptosis.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,al shaimaa mahmoud kotb,Al Shaimaa Mahmoud Kotb,Apremilast ameliorates methotrexate-induced renal injury in rats: role of TLR4/NF-κB/P38 MAPK/caspase-3 and Nrf2/HO-1 signaling pathways.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alaa abd-elsayed,Alaa Abd-Elsayed,Efficacy of Combined Suprascapular Block and Axillary Nerve Block for Post-Operative Pain Management in Shoulder Arthroplasty: A Narrative Review.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alaa abd-elsayed,Alaa Abd-Elsayed,"Periosteal Osteosarcoma: Emerging Clinical Concepts, Evolving Treatment Options: A Narrative Review.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,aladine a elsamadicy,Aladine A Elsamadicy,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alan d kaye,Alan D Kaye,Efficacy of Combined Suprascapular Block and Axillary Nerve Block for Post-Operative Pain Management in Shoulder Arthroplasty: A Narrative Review.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alan d kaye,Alan D Kaye,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alan d kaye,Alan D Kaye,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alan d kaye,Alan D Kaye,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alan d kaye,Alan D Kaye,"Periosteal Osteosarcoma: Emerging Clinical Concepts, Evolving Treatment Options: A Narrative Review.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alan hopkins,Alan Hopkins,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alba adriana vallejo-cardona,Alba Adriana Vallejo-Cardona,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alberto tommasini,Alberto Tommasini,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,aleksandra strokach,Aleksandra Strokach,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alessandra cafiso,Alessandra Cafiso,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alessandro zanon,Alessandro Zanon,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alessia pea,Alessia Pea,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alexandra de silvestro,Alexandra De Silvestro,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alexandre belot,Alexandre Belot,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alexandre g lellouch,Alexandre G Lellouch,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alexei grom,Alexei Grom,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alexia j enache,Alexia J Enache,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alexios batrakoulis,Alexios Batrakoulis,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alfonso galeota lanza,Alfonso Galeota Lanza,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ali s khashan,Ali S Khashan,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alisher abduvokhidov,Alisher Abduvokhidov,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alison m ryan,Alison M Ryan,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alix de becdelièvre,Alix de Becdelièvre,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,allen e bale,Allen E Bale,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,allie m sidwell,Allie M Sidwell,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,allison dunn,Allison Dunn,Persistent Impact of In Utero Nanoparticle Exposure on Metabolic and Endocrine Outcomes in Adult Rats Fed a High-Fat Diet.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,allison t vidimos,Allison T Vidimos,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,alyssa rosen,Alyssa Rosen,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,amanda henry,Amanda Henry,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ambra vola,Ambra Vola,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ameya joshi,Ameya Joshi,Isoform-specific vs. pan-histone deacetylase inhibition as approaches for countering glioblastoma: an ,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,amr m mahmoud,Amr M Mahmoud,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anant d bhave,Anant D Bhave,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anastasia kazyulina,Anastasia Kazyulina,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anastasiia lebedeva,Anastasiia Lebedeva,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,andong liu,Andong Liu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,andras jakab,Andras Jakab,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,andrea taddio,Andrea Taddio,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,andreas fritsche,Andreas Fritsche,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,andreas l birkenfeld,Andreas L Birkenfeld,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,andrew ekpenyong,Andrew Ekpenyong,Isoform-specific vs. pan-histone deacetylase inhibition as approaches for countering glioblastoma: an ,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,andrew maccormick,Andrew MacCormick,The Concept of Anatomical Analogy Between the Liver and the Pancreas.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,andrew sama,Andrew Sama,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,angelica singh,Angelica Singh,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,angelo massaro,Angelo Massaro,An,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anila qasim,Anila Qasim,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anish k arora,Anish K Arora,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anjani guda,Anjani Guda,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anmol goswami,Anmol Goswami,Unveiling Indazole: Novel Synthetic Pathways and Biological Potentials.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anna ardoin,Anna Ardoin,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anna mensa-vilaro,Anna Mensa-Vilaro,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anna vnukova,Anna Vnukova,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anne sophie homøe,Anne Sophie Homøe,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anne welfringer-morin,Anne Welfringer-Morin,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anne wing-mui lee,Anne Wing-Mui Lee,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anne-fleur griffon,Anne-Fleur Griffon,Development of a competition assay to assess the in vitro fitness of dengue virus serotypes using an optimized serotype-specific qRT-PCR.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anne-fleur guillemin,Anne-Fleur Guillemin,Challenges and prospects for research into health promotion in schools and the fight against cancers.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,annette hackenberg,Annette Hackenberg,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anthony rossi,Anthony Rossi,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,antonella santonicola,Antonella Santonicola,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,antonio russo,Antonio Russo,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,anupam chatterjee,Anupam Chatterjee,Arsenic-induced oxidative damages and toxicity in young goats: potential mitigation with vitamin E and phytogenic feed additives.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,april z gu,April Z Gu,Geno-pheno characterization of crop rhizospheres: an integrated Raman spectroscopy and microbiome approach in conventional and organic agriculture.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,areeba ahmed,Areeba Ahmed,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,arina german,Arina German,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,aron alakmeh,Aron Alakmeh,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,arvid sandforth,Arvid Sandforth,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,aryan selokar,Aryan Selokar,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ashfaq a marghoob,Ashfaq A Marghoob,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,asif mohammad,Asif Mohammad,Arsenic-induced oxidative damages and toxicity in young goats: potential mitigation with vitamin E and phytogenic feed additives.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,athos silva de oliveira,Athos Silva de Oliveira,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,aurore coulomb l'hermine,Aurore Coulomb l'Hermine,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,austin s thomassen,Austin S Thomassen,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,austin s thomassen,Austin S Thomassen,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,austin s thomassen,Austin S Thomassen,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,avani diluna,Avani DiLuna,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,avril reddy,Avril Reddy,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ayato maeda,Ayato Maeda,Iron and bile acids synergize to exacerbate congenital cholestatic liver injury via ferroptosis.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ayixon sánchez-reyes,Ayixon Sánchez-Reyes,,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,ayse ayzit kilinc,Ayse Ayzit Kilinc,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,azher m abed,Azher M Abed,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,barry l bentley,Barry L Bentley,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,basak e uygun,Basak E Uygun,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,bayan alkhawaja,Bayan Alkhawaja,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,bayan y ghanim,Bayan Y Ghanim,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,bekzod madaminov,Bekzod Madaminov,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,berta lopez montesinos,Berta Lopez Montesinos,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,bettina reich,Bettina Reich,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,bharat b mittal,Bharat B Mittal,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,bharosh kumar yadav,Bharosh Kumar Yadav,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
,,,,,,bhav jain,Bhav Jain,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed,biotech/pharma,unknown,,,True,unknown,,False,,,unknown,True,,,,False
