name_linkedin,title,company,person_location,linkedin_url,source_linkedin,full_name_normalized,name_pubmed,paper_title,publication_year,source_pubmed
,,,,,,ahmed osman ibrahim,Ahmed Osman Ibrahim,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
,,,,,,ai-xia cheng,Ai-Xia Cheng,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
,,,,,,aisling jennings,Aisling Jennings,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,aisling naylor,Aisling Naylor,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,ajay duseja,Ajay Duseja,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,akihiro nita,Akihiro Nita,Iron and bile acids synergize to exacerbate congenital cholestatic liver injury via ferroptosis.,2025.0,PubMed
,,,,,,al shaimaa mahmoud kotb,Al Shaimaa Mahmoud Kotb,Apremilast ameliorates methotrexate-induced renal injury in rats: role of TLR4/NF-κB/P38 MAPK/caspase-3 and Nrf2/HO-1 signaling pathways.,2025.0,PubMed
,,,,,,alaa abd-elsayed,Alaa Abd-Elsayed,Efficacy of Combined Suprascapular Block and Axillary Nerve Block for Post-Operative Pain Management in Shoulder Arthroplasty: A Narrative Review.,2025.0,PubMed
,,,,,,alaa abd-elsayed,Alaa Abd-Elsayed,"Periosteal Osteosarcoma: Emerging Clinical Concepts, Evolving Treatment Options: A Narrative Review.",2025.0,PubMed
,,,,,,aladine a elsamadicy,Aladine A Elsamadicy,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed
,,,,,,alan d kaye,Alan D Kaye,Efficacy of Combined Suprascapular Block and Axillary Nerve Block for Post-Operative Pain Management in Shoulder Arthroplasty: A Narrative Review.,2025.0,PubMed
,,,,,,alan d kaye,Alan D Kaye,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed
,,,,,,alan d kaye,Alan D Kaye,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed
,,,,,,alan d kaye,Alan D Kaye,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,alan d kaye,Alan D Kaye,"Periosteal Osteosarcoma: Emerging Clinical Concepts, Evolving Treatment Options: A Narrative Review.",2025.0,PubMed
,,,,,,alan hopkins,Alan Hopkins,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,alba adriana vallejo-cardona,Alba Adriana Vallejo-Cardona,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
,,,,,,alberto tommasini,Alberto Tommasini,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,aleksandra strokach,Aleksandra Strokach,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,alessandra cafiso,Alessandra Cafiso,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,alessandro zanon,Alessandro Zanon,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,alessia pea,Alessia Pea,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,alexandra de silvestro,Alexandra De Silvestro,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,alexandre belot,Alexandre Belot,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,alexandre g lellouch,Alexandre G Lellouch,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,alexei grom,Alexei Grom,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
,,,,,,alexia j enache,Alexia J Enache,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed
,,,,,,alexios batrakoulis,Alexios Batrakoulis,"Comparative Efficacy of Different Exercise Interventions on Intrahepatic Lipid Content, Glucose Homeostasis, and Liver Function in Adults With and Without Nonalcoholic Fatty Liver Disease: A Systematic Review With Pairwise and Network Meta-Analyses.",2025.0,PubMed
,,,,,,alfonso galeota lanza,Alfonso Galeota Lanza,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,ali s khashan,Ali S Khashan,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,alisher abduvokhidov,Alisher Abduvokhidov,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
,,,,,,alison m ryan,Alison M Ryan,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,alix de becdelièvre,Alix de Becdelièvre,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,allen e bale,Allen E Bale,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,allie m sidwell,Allie M Sidwell,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,allison dunn,Allison Dunn,Persistent Impact of In Utero Nanoparticle Exposure on Metabolic and Endocrine Outcomes in Adult Rats Fed a High-Fat Diet.,2025.0,PubMed
,,,,,,allison t vidimos,Allison T Vidimos,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,alyssa rosen,Alyssa Rosen,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,amanda henry,Amanda Henry,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,ambra vola,Ambra Vola,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,ameya joshi,Ameya Joshi,Isoform-specific vs. pan-histone deacetylase inhibition as approaches for countering glioblastoma: an ,2025.0,PubMed
,,,,,,amr m mahmoud,Amr M Mahmoud,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
,,,,,,anant d bhave,Anant D Bhave,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
,,,,,,anastasia kazyulina,Anastasia Kazyulina,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,anastasiia lebedeva,Anastasiia Lebedeva,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,andong liu,Andong Liu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,andras jakab,Andras Jakab,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,andrea taddio,Andrea Taddio,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,andreas fritsche,Andreas Fritsche,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,andreas l birkenfeld,Andreas L Birkenfeld,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,andrew ekpenyong,Andrew Ekpenyong,Isoform-specific vs. pan-histone deacetylase inhibition as approaches for countering glioblastoma: an ,2025.0,PubMed
,,,,,,andrew maccormick,Andrew MacCormick,The Concept of Anatomical Analogy Between the Liver and the Pancreas.,2025.0,PubMed
,,,,,,andrew sama,Andrew Sama,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,angelica singh,Angelica Singh,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,angelo massaro,Angelo Massaro,An,2025.0,PubMed
,,,,,,anila qasim,Anila Qasim,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,anish k arora,Anish K Arora,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,anjani guda,Anjani Guda,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,anmol goswami,Anmol Goswami,Unveiling Indazole: Novel Synthetic Pathways and Biological Potentials.,2025.0,PubMed
,,,,,,anna ardoin,Anna Ardoin,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,anna mensa-vilaro,Anna Mensa-Vilaro,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,anna vnukova,Anna Vnukova,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,anne sophie homøe,Anne Sophie Homøe,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed
,,,,,,anne welfringer-morin,Anne Welfringer-Morin,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,anne wing-mui lee,Anne Wing-Mui Lee,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
,,,,,,anne-fleur griffon,Anne-Fleur Griffon,Development of a competition assay to assess the in vitro fitness of dengue virus serotypes using an optimized serotype-specific qRT-PCR.,2025.0,PubMed
,,,,,,anne-fleur guillemin,Anne-Fleur Guillemin,Challenges and prospects for research into health promotion in schools and the fight against cancers.,2025.0,PubMed
,,,,,,annette hackenberg,Annette Hackenberg,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,anthony rossi,Anthony Rossi,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,antonella santonicola,Antonella Santonicola,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,antonio russo,Antonio Russo,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,anupam chatterjee,Anupam Chatterjee,Arsenic-induced oxidative damages and toxicity in young goats: potential mitigation with vitamin E and phytogenic feed additives.,2025.0,PubMed
,,,,,,april z gu,April Z Gu,Geno-pheno characterization of crop rhizospheres: an integrated Raman spectroscopy and microbiome approach in conventional and organic agriculture.,2025.0,PubMed
,,,,,,areeba ahmed,Areeba Ahmed,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,arina german,Arina German,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,aron alakmeh,Aron Alakmeh,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,arvid sandforth,Arvid Sandforth,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,aryan selokar,Aryan Selokar,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,ashfaq a marghoob,Ashfaq A Marghoob,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,asif mohammad,Asif Mohammad,Arsenic-induced oxidative damages and toxicity in young goats: potential mitigation with vitamin E and phytogenic feed additives.,2025.0,PubMed
,,,,,,athos silva de oliveira,Athos Silva de Oliveira,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
,,,,,,aurore coulomb l'hermine,Aurore Coulomb l'Hermine,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,austin s thomassen,Austin S Thomassen,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed
,,,,,,austin s thomassen,Austin S Thomassen,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed
,,,,,,austin s thomassen,Austin S Thomassen,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,avani diluna,Avani DiLuna,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed
,,,,,,avril reddy,Avril Reddy,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,ayato maeda,Ayato Maeda,Iron and bile acids synergize to exacerbate congenital cholestatic liver injury via ferroptosis.,2025.0,PubMed
,,,,,,ayixon sánchez-reyes,Ayixon Sánchez-Reyes,,2025.0,PubMed
,,,,,,ayse ayzit kilinc,Ayse Ayzit Kilinc,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,azher m abed,Azher M Abed,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
,,,,,,barry l bentley,Barry L Bentley,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,basak e uygun,Basak E Uygun,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,bayan alkhawaja,Bayan Alkhawaja,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,bayan y ghanim,Bayan Y Ghanim,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,bekzod madaminov,Bekzod Madaminov,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
,,,,,,berta lopez montesinos,Berta Lopez Montesinos,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,bettina reich,Bettina Reich,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,bharat b mittal,Bharat B Mittal,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,bharosh kumar yadav,Bharosh Kumar Yadav,A scenario based analysis of bidirectional electric vehicle-building integration for energy optimization and carbon emission reduction.,2025.0,PubMed
,,,,,,bhav jain,Bhav Jain,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,bibi atika,Bibi Atika,Genome-wide identification of genes involved in beetle odoriferous defensive stink gland function recognizes Laccase2 as the phenoloxidase responsible for toxic para-benzoquinone synthesis.,2025.0,PubMed
,,,,,,bill s majdalany,Bill S Majdalany,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
,,,,,,bingxu zhang,Bingxu Zhang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,bo jin,Bo Jin,Beyond existing rating scales: development of a novel nomogram for predicting severe clinical bleeding associated with low-molecular-weight heparin in hospitalized medical patients.,2025.0,PubMed
,,,,,,bo you,Bo You,Drp1 Interaction with BIP Maintains Mitochondrial Dynamic Equilibrium to Promote Anoikis Resistance and Metastasis in Nasopharyngeal Carcinoma.,2025.0,PubMed
,,,,,,boming wu,Boming Wu,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
,,,,,,brandon s imber,Brandon S Imber,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,brian a cahn,Brian A Cahn,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,brian mathew,Brian Mathew,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,brianna c theriault,Brianna C Theriault,Utilizing Machine Learning to Predict Perioperative Blood Transfusion in Pediatric Craniosynostosis Patients Undergoing Cranial Vault Remodeling.,,PubMed
,,,,,,brigitte bader-meunier,Brigitte Bader-Meunier,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,c delavaud,C Delavaud,Replacing hexane with 2-methyloxolane for defatting soybean meal fed to dairy cows: Effects on ruminal and milk fatty acid profiles and health indicators.,2025.0,PubMed
,,,,,,c wendy spearman,C Wendy Spearman,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,camille b coreil,Camille B Coreil,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed
,,,,,,carine simar,Carine Simar,Challenges and prospects for research into health promotion in schools and the fight against cancers.,2025.0,PubMed
,,,,,,carmen gonelle-gispert,Carmen Gonelle-Gispert,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,carmine coppola,Carmine Coppola,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,caroline thumerelle,Caroline Thumerelle,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,caterina matucci-cerinic,Caterina Matucci-Cerinic,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,caterina sagnelli,Caterina Sagnelli,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,catherine inizan,Catherine Inizan,Development of a competition assay to assess the in vitro fitness of dengue virus serotypes using an optimized serotype-specific qRT-PCR.,2025.0,PubMed
,,,,,,cecilia villegas-novoa,Cecilia Villegas-Novoa,An,2025.0,PubMed
,,,,,,celine steger,Celine Steger,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,ceres mattos della lucia,Ceres Mattos Della Lucia,Impact of anthocyanin-rich fruits on the modulation of inflammation and oxidative stress in the gut-liver axis: a systematic review of ,2025.0,PubMed
,,,,,,cerrene n giordano,Cerrene N Giordano,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,chamith s rajapakse,Chamith S Rajapakse,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,chang-heng liu,Chang-Heng Liu,Pararectus vs. lateral window approach in AO B2.2 pelvic fractures: impact on short-term functional outcomes.,2025.0,PubMed
,,,,,,changcheng zhou,Changcheng Zhou,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
,,,,,,changqing yang,Changqing Yang,The mechanism of CISD3 regulating NRF2-ATP7B to ameliorate alcohol-induced liver mitochondrial dysfunction and cuproptosis.,2025.0,PubMed
,,,,,,chantal vandoorne,Chantal Vandoorne,Challenges and prospects for research into health promotion in schools and the fight against cancers.,2025.0,PubMed
,,,,,,chao fang,Chao Fang,Intratumoral microbiome: a crucial regulating factor in development and progression of colorectal cancer.,2025.0,PubMed
,,,,,,chao gao,Chao Gao,Primary Pulmonary Osteosarcoma Presenting as a 1.7-cm Subpleural Nodule in a 61-Year-Old Man: A Case Report.,2025.0,PubMed
,,,,,,chaoyang ding,Chaoyang Ding,Integrated network pharmacology and experimental validation reveal ,2025.0,PubMed
,,,,,,charles f spurlock,Charles F Spurlock,Multiple sclerosis risk stratification and healthcare cost prediction using machine learning.,2025.0,PubMed
,,,,,,charles j fox,Charles J Fox,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,charles m soto,Charles M Soto,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,chengetayi cornelius rimayi,Chengetayi Cornelius Rimayi,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
,,,,,,chengsong xie,Chengsong Xie,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
,,,,,,chenxi li,Chenxi Li,Differential Functions of Membrane-bound and Soluble TNF-α in Regulating Trophoblasts Invasion and Migration.,2025.0,PubMed
,,,,,,chenyingchun su,Chenyingchun Su,Divergent synthesis of Haplomitrium diterpenoids via a late-stage biomimetic skeletal reorganization approach.,2025.0,PubMed
,,,,,,chi-leung chiang,Chi-Leung Chiang,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
,,,,,,chiara bazzocchi,Chiara Bazzocchi,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,chiara stocchero,Chiara Stocchero,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,chol seung lim,Chol Seung Lim,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
,,,,,,chris wallace,Chris Wallace,Semi-supervised Bayesian integration of multiple spatial proteomics datasets.,2025.0,PubMed
,,,,,,christiane haase,Christiane Haase,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed
,,,,,,christie mena adam,Christie Mena Adam,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,christina rapp,Christina Rapp,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,christof koch,Christof Koch,Predicting neural responses to intra- and extra-cranial electric brain stimulation by means of the reciprocity theorem.,2025.0,PubMed
,,,,,,christopher b harmon,Christopher B Harmon,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,christopher reilly-stitt,Christopher Reilly-Stitt,Laboratory Testing of Direct Oral Anticoagulants.,2025.0,PubMed
,,,,,,christopher s morris,Christopher S Morris,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
,,,,,,chu-chu zhang,Chu-Chu Zhang,Efficacy and Safety of Different Types of Traditional Chinese Medicine Preparations Combined with EGFR-TKIs for Patients with Non-Small Cell Lung Cancer: A Network Meta-analysis.,2025.0,PubMed
,,,,,,churl-su kwon,Churl-Su Kwon,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,cinthia rames,Cinthia Rames,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,clara patricia rios-ibarra,Clara Patricia Rios-Ibarra,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
